Date,Open,High,Low,Close,Adj Close,Volume
05/06/19,3900,3900,3900,3900,3900,0
06/06/19,3900,3900,3900,3900,3900,0
07/06/19,3900,3900,3900,3900,3900,0
10/06/19,4000,4060,3970,4040,4040,222522800
11/06/19,4010,4060,4000,4020,4020,88861700
12/06/19,3880,3950,3840,3940,3940,134724400
13/06/19,3940,3990,3900,3990,3990,115734700
14/06/19,4020,4050,3970,3990,3990,92466800
17/06/19,3950,3970,3900,3900,3900,60851700
18/06/19,3890,3990,3890,3980,3980,66112800
19/06/19,4020,4120,4020,4100,4100,100210400
20/06/19,4110,4110,4020,4040,4040,57673700
21/06/19,4010,4040,3950,4040,4040,154049700
24/06/19,4050,4050,3970,3980,3980,50525100
25/06/19,4040,4040,4000,4010,4010,42601100
26/06/19,4020,4050,3980,3980,3980,56092200
27/06/19,4010,4120,4000,4090,4090,94221200
28/06/19,4100,4200,4090,4140,4140,130153100
01/07/19,4200,4240,4170,4220,4220,79382300
02/07/19,4240,4250,4180,4250,4250,87999800
03/07/19,4160,4240,4160,4240,4240,63296200
04/07/19,4190,4260,4190,4250,4250,38459300
05/07/19,4260,4280,4240,4280,4280,50332800
08/07/19,4230,4290,4210,4270,4270,57903400
09/07/19,4300,4370,4270,4350,4350,124822400
10/07/19,4310,4320,4260,4290,4290,62529900
11/07/19,4250,4280,4240,4270,4270,25645900
12/07/19,4240,4250,4170,4180,4180,57088600
15/07/19,4250,4290,4230,4280,4280,66960500
16/07/19,4240,4280,4210,4240,4240,45461500
17/07/19,4250,4260,4220,4230,4230,32069800
18/07/19,4220,4250,4210,4240,4240,45408100
19/07/19,4260,4280,4250,4270,4270,60692800
22/07/19,4250,4270,4230,4260,4260,37513700
23/07/19,4260,4270,4200,4250,4250,62628100
24/07/19,4230,4240,4160,4190,4190,73904300
25/07/19,4160,4240,4160,4210,4210,49276300
26/07/19,4160,4210,4110,4160,4160,70952400
29/07/19,4150,4240,4140,4200,4200,54336900
30/07/19,4280,4300,4260,4270,4270,88417200
31/07/19,4240,4300,4210,4300,4300,175741000
01/08/19,4300,4300,4260,4280,4280,94856600
02/08/19,4280,4300,4250,4280,4280,82253800
05/08/19,4200,4220,4060,4080,4080,112253200
06/08/19,4060,4190,4050,4130,4130,108890100
07/08/19,4230,4270,4170,4210,4210,104785500
08/08/19,4270,4290,4240,4260,4260,95204000
09/08/19,4300,4300,4240,4260,4260,89600500
12/08/19,4300,4320,4230,4260,4260,41817800
13/08/19,4290,4290,4230,4250,4250,98757900
14/08/19,4300,4300,4270,4290,4290,84928200
15/08/19,4200,4290,4200,4290,4290,97255500
16/08/19,4300,4310,4220,4280,4280,51853900
19/08/19,4340,4340,4290,4340,4340,86011300
20/08/19,4350,4470,4340,4470,4470,143171600
21/08/19,4460,4500,4390,4410,4410,99649300
22/08/19,4380,4450,4320,4450,4450,110968600
23/08/19,4390,4450,4340,4380,4380,83823900
26/08/19,4280,4360,4280,4330,4330,77603200
27/08/19,4390,4410,4320,4380,4380,168209400
28/08/19,4430,4430,4350,4370,4370,68091100
29/08/19,4370,4440,4370,4380,4380,65718900
30/08/19,4430,4450,4420,4450,4450,95138200
02/09/19,4440,4450,4400,4410,4410,27531000
03/09/19,4440,4440,4330,4350,4350,66884700
04/09/19,4310,4350,4280,4290,4290,78905600
05/09/19,4290,4360,4290,4320,4320,97098300
06/09/19,4360,4360,4210,4210,4210,117223300
09/09/19,4280,4300,4240,4270,4270,47057300
10/09/19,4300,4300,4250,4270,4270,80403000
11/09/19,4300,4300,4210,4250,4250,90211600
12/09/19,4220,4230,4160,4170,4170,70382200
13/09/19,4230,4230,4160,4160,4160,64074800
16/09/19,4160,4260,4160,4220,4220,85284700
17/09/19,4240,4280,4220,4270,4270,86432000
18/09/19,4250,4280,4230,4250,4250,72359600
19/09/19,4260,4260,4190,4210,4210,58720600
20/09/19,4250,4300,4230,4290,4290,132359100
23/09/19,4290,4300,4230,4250,4250,70483600
24/09/19,4210,4240,4150,4210,4210,88979100
25/09/19,4220,4250,4180,4220,4220,84582300
26/09/19,4220,4370,4200,4360,4360,79324000
27/09/19,4310,4350,4300,4310,4310,52305800
30/09/19,4270,4330,4270,4310,4310,111879100
01/10/19,4400,4400,4220,4250,4250,60332400
02/10/19,4260,4300,4190,4200,4200,51606300
03/10/19,4190,4250,4160,4200,4200,56433000
04/10/19,4250,4250,4180,4190,4190,34082000
07/10/19,4240,4240,4090,4110,4110,42996900
08/10/19,4170,4170,4060,4090,4090,74448900
09/10/19,4090,4170,4080,4120,4120,59314500
10/10/19,4060,4120,4060,4110,4110,34345600
11/10/19,4100,4170,4100,4170,4170,42198800
14/10/19,4200,4210,4150,4190,4190,52681800
15/10/19,4190,4190,4150,4170,4170,64670200
16/10/19,4170,4190,4140,4170,4170,70555700
17/10/19,4160,4180,4140,4170,4170,50695300
18/10/19,4170,4190,4160,4190,4190,169540200
21/10/19,4200,4250,4190,4200,4200,63797000
22/10/19,4200,4250,4200,4230,4230,56711100
23/10/19,4210,4270,4210,4260,4260,97971900
24/10/19,4300,4350,4250,4350,4350,99213400
25/10/19,4320,4360,4270,4280,4280,67661500
28/10/19,4280,4280,4220,4260,4260,30710600
29/10/19,4230,4330,4220,4330,4330,68715000
30/10/19,4290,4350,4210,4270,4270,89575600
31/10/19,4220,4240,4080,4110,4110,185713300
01/11/19,4090,4150,4060,4080,4080,107208500
04/11/19,4080,4160,4080,4150,4150,65897700
05/11/19,4170,4200,4130,4200,4200,109276000
06/11/19,4180,4190,4110,4120,4120,134618700
07/11/19,4150,4150,3990,4070,4070,125291200
08/11/19,4010,4120,3990,4110,4110,70404800
11/11/19,4040,4120,4040,4100,4100,57079800
12/11/19,4050,4190,4050,4180,4180,88251100
13/11/19,4130,4170,4100,4150,4150,91925700
14/11/19,4110,4130,4010,4050,4050,123468500
15/11/19,4080,4090,4030,4080,4080,50780500
18/11/19,4040,4060,3990,4000,4000,104978700
19/11/19,4000,4020,3970,4020,4020,113996600
20/11/19,4000,4090,4000,4090,4090,149185500
21/11/19,4050,4090,4020,4020,4020,64005900
22/11/19,4030,4050,4000,4050,4050,76569400
25/11/19,4070,4070,3940,3950,3950,107581200
26/11/19,3950,3960,3860,3860,3860,281002600
27/11/19,3870,3930,3800,3880,3880,97511300
28/11/19,3830,3900,3800,3820,3820,70635000
29/11/19,3860,3950,3840,3930,3930,72146900
02/12/19,3960,3960,3930,3950,3950,74263500
03/12/19,3920,3940,3910,3920,3920,74494000
04/12/19,3920,3990,3900,3990,3990,64948300
05/12/19,3990,4080,3990,4060,4060,118494800
06/12/19,4040,4100,4020,4100,4100,50682100